Key,Id,English(en),Korean(ko)
UIPanelExplorationGrid_OtherRunInProgress,,There is another exploration in progress.\nZone {0} / Cell {1} / Banked Exploration Point {2}\nAbandon it and start a new challenge in the selected zone?\n* Only 20% of banked points will be recovered if abandoned,진행 중인 다른 탐험이 있습니다.\n존 {0} / 구역 {1} / 적립된 탐험 포인트 {2}\n포기하고 선택한 존에 새로 도전하시겠습니까?\n* 포기 시 적립된 포인트의 20%만 회수 가능합니다
UIPanelExplorationGrid_OtherRunInProgressWithAd,,There is another exploration in progress.\nZone {0} / Cell {1} / Banked Exploration Point {2}\nAbandon it and start a new challenge in the selected zone?\n* Watch an ad to recover 100% of banked points. Otherwise only 20% will be recovered,진행 중인 다른 탐험이 있습니다.\n존 {0} / 구역 {1} / 적립된 탐험 포인트 {2}\n포기하고 선택한 존에 새로 도전하시겠습니까?\n* 광고를 시청하면 적립된 포인트의 100%를 회수하고 시청하지 않으면 20%만 회수 가능합니다
UIPanelExplorationGrid_OtherRunInProgressVip,,There is another exploration in progress.\nZone {0} / Cell {1} / Banked Exploration Point {2}\nAbandon it and start a new challenge in the selected zone?\n* As a VIP privilege, you still recover 100% of banked points,진행 중인 다른 탐험이 있습니다.\n존 {0} / 구역 {1} / 적립된 탐험 포인트 {2}\n포기하고 선택한 존에 새로 도전하시겠습니까?\n* VIP 특혜로 포기해도 적립된 포인트의 100%를 회수합니다
UIPanelExplorationGrid_AbandonAnotherRunConfirm,,There is an exploration in progress in another zone. Abandoning it now only grants 20% of the banked exploration points. Abandon it and start a new challenge?,다른 존에 진행 중인 탐험이 있습니다. 지금 포기하면 쌓인 탐험 포인트의 20%만 획득합니다. 포기하고 새로 도전하시겠습니까?
UIPanelExplorationGrid_AbandonAnotherRunConfirmWithAd,,There is an exploration in progress in another zone. Watch an ad to receive 100% of the banked exploration points or abandon now for only 20%. Abandon it and start a new challenge?,다른 존에 진행 중인 탐험이 있습니다. 광고를 시청하면 쌓인 탐험 포인트의 100%를 획득하고 시청하지 않고 포기하면 20%만 획득합니다. 포기하고 새로 도전하시겠습니까?
UIPanelExplorationGrid_AbandonAnotherRunConfirmVip,,There is an exploration in progress in another zone. As a VIP privilege, you still receive 100% of the banked exploration points. Abandon it and start a new challenge?,다른 존에 진행 중인 탐험이 있습니다. VIP 특혜로 포기해도 쌓인 탐험 포인트의 100%를 획득합니다. 포기하고 새로 도전하시겠습니까?
UIPanelExplorationGrid_AbandonRunConfirm,,Abandon the exploration in progress?\nOnly 20% of the banked exploration points will be granted.,진행 중인 탐험을 포기하시겠습니까?\n지금까지 쌓인 탐험 포인트의 20%만 획득합니다.
UIPanelExplorationGrid_AbandonRunConfirmWithAd,,Abandon the exploration in progress?\nWatch an ad to receive 100% of the banked exploration points or abandon now for only 20%.,진행 중인 탐험을 포기하시겠습니까?\n광고를 시청하면 지금까지 쌓인 탐험 포인트의 100%를 획득하고 시청하지 않고 포기하면 20%만 획득합니다.
UIPanelExplorationGrid_AbandonRunConfirmVip,,Abandon the exploration in progress?\nAs a VIP privilege, you still receive 100% of the banked exploration points.,진행 중인 탐험을 포기하시겠습니까?\nVIP 특혜로 포기해도 지금까지 쌓인 탐험 포인트의 100%를 받습니다.
UI_Abandon,,ABANDON,포기
RewardCard_BeamAttack_Name,,Beam Power Up,빔 공격력 강화
RewardCard_BeamAttack_Desc,,Beam attack +{0:P0},빔 공격력 {0:P0} 증가
RewardCard_BeamFireRate_Name,,Beam Rate of Fire Up,빔 연사속도 강화
RewardCard_BeamFireRate_Desc,,Beam rate of fire +{0:P0},빔 연사속도 {0:P0} 증가
RewardCard_MissileAttack_Name,,Missile Power Up,미사일 공격력 강화
RewardCard_MissileAttack_Desc,,Missile attack +{0:P0},미사일 공격력 {0:P0} 증가
RewardCard_MissileFireRate_Name,,Missile Rate of Fire Up,미사일 연사속도 강화
RewardCard_MissileFireRate_Desc,,Missile rate of fire +{0:P0},미사일 연사속도 {0:P0} 증가
RewardCard_MissileSilence_Name,,Missile Silence Up,미사일 침묵효과 강화
RewardCard_MissileSilence_Desc,,Missile silence effect +{0:P0},미사일 침묵효과 {0:P0} 증가
RewardCard_HangarAttackToShip_Name,,Fighter Anti-Ship Power Up,함재기 대함 공격력 강화
RewardCard_HangarAttackToShip_Desc,,Fighter anti-ship attack +{0:P0},함재기 대함 공격력 {0:P0} 증가
RewardCard_HangarAttackToFighter_Name,,Fighter Dogfight Power Up,함재기 대함재기 공격력 강화
RewardCard_HangarAttackToFighter_Desc,,Fighter dogfight attack +{0:P0},함재기 대함재기 공격력 {0:P0} 증가
RewardCard_ShipHealth_Name,,Max Health Up,최대 체력 강화
RewardCard_ShipHealth_Desc,,Max ship health +{0:P0},최대 함선 체력 {0:P0} 증가
RewardCard_PointRate_Name,,Exploration Point Rate Up,탐험 포인트 획득량 증가
RewardCard_PointRate_Desc,,Exploration point gain +{0:P0},탐험 포인트 획득량 {0:P0} 증가
RewardCard_HealthHeal_Name,,Hull Repair,체력 회복
RewardCard_HealthHeal_Desc,,Restore {0:P0} of hull health,체력 {0:P0} 회복
RewardCard_ShieldHeal_Name,,Shield Recharge,실드 회복
RewardCard_ShieldHeal_Desc,,Restore {0:P0} of shield,실드 {0:P0} 회복
RewardCard_InterceptorHeal_Name,,Interceptor Resupply,요격체 회복
RewardCard_InterceptorHeal_Desc,,Restore {0:P0} of interceptors,요격체 {0:P0} 회복
RewardCard_TacticPowerHeal_Name,,Tactic Power Recharge,전술력 회복
RewardCard_TacticPowerHeal_Desc,,Restore {0:P0} of tactic power,전술력 {0:P0} 회복
RewardCard_PointFlat_Name,,Exploration Point Bonus,탐험 포인트 획득
RewardCard_PointFlat_Desc,,Exploration Point +{0:F0},탐험 포인트 +{0:F0}
UIAvailableHullRow_Name,,Name:,이름:
UIAvailableHullRow_Cost,,Cost:,비용:
UIFleet_Front,,Front,전방
UIFleet_Rear,,Rear,후방
UIFleet_PlacedShipCount,,Placed Ships,배치 함선 수
UIFleet_PlaceShip,,Deploy Ship,함선 배치
UIFleet_PlaceFailed_Locked,,This slot is locked. Raise your commander level to unlock it.,잠긴 슬롯입니다. 커맨더 레벨을 올려 슬롯을 해제하세요.
UIFleet_PlaceFailed_NotEnoughCommandPower,,Not enough command power.,지휘력이 부족합니다.
UIFleet_PlaceFailed_HullNotFound,,This hull is unavailable.,사용할 수 없는 함체입니다.
UIFleet_PlacedShipsTitle,,Fleet,함대구성
UIFleet_StatsTitle,,Stats,성능
UIFleet_ModulesTitle,,Modules,모듈
UIFleet_Stats_Health,,Health,체력
UIFleet_Stats_TurnRate,,Turn Rate,선회력
UIFleet_Stats_Repair,,Repair,수리력
UIFleet_Stats_BeamDps,,Beam Attack,빔 공격력
UIFleet_Stats_MissileDps,,Missile Attack,미사일 공격력
UIFleet_Stats_MissileSilenceTime,,Missile Silence,미사일 침묵
UIFleet_Stats_FighterAttackPowerToShip,,Air-Ship Attack,공대함 공격력
UIFleet_Stats_FighterAttackPowerToFighter,,Air-Air Attack,공대공 공격력
UIFleet_Stats_FighterAmmo,,Fighter Ammo,함재기 탄약
UIFleet_Stats_FighterHealth,,Fighter Health,함재기 체력
UIFleet_Stats_FighterDisrupt,,Fighter Disrupt,함재기 교란
UIFleet_Stats_ShieldGauge,,Shield Gauge,실드 게이지
UIFleet_Stats_ShieldRegenRate,,Shield Regen,실드 회복속도
UIFleet_Stats_InterceptorCount,,Interceptors,요격체 개수
UIFleet_Stats_InterceptorRegenTime,,Intercept Regen,요격체 회복시간
UIFleet_ShipLoadOut_Title,,Ship Loadout,함선 모듈 관리
UIFleet_EditLoadoutButton,,Edit,함선 수정
UIFleet_HullPicker_Title,,Select Hull,함체 선택
UIHull_DisplayName,,Tier{0} Hull {1}G{2},티어{0} 함체 {1}세대{2}
UIHullPicker_UnlockConfirmMessage,,Unlock {0},{0}을(를) 언락하시겠습니까?
UIHullPicker_UnlockPrerequisiteFailMessage,,Unlock the previous hull first.,이전 단계 함체를 먼저 언락해야 합니다.
UIAchievement_Progress,,Progress,진행도
UIAchievement_Reward,,AP Reward,업적포인트 보상
UIAchievement_RewardVip,,VIP Reward,VIP 보상
UIAchievement_ClaimAllButton,,Claim All,전체 받기
UIAchievement_FindNextButton,,Find Next,다음 찾기
UIAchievement_HideCompletedToggle,,Hide Completed Achievements,완료 업적 숨기기
UIAchievement_Category_CellClear,,Cell Clear,셀 클리어
UIAchievement_Category_EventCell,,Event Cell Clear,이벤트 셀 클리어
UIAchievement_Category_ZoneClearTotal,,Zone Clear (Total),존 클리어(누적)
UIAchievement_Category_ZoneClearSpecific,,Zone Clear,존 클리어
UIAchievement_Category_ZoneFullClear,,Zone Full Clear,존 완전 클리어
UIAchievement_Category_CommanderLevel,,Commander Level,지휘관 레벨
UIAchievement_Category_CommandPower,,Command Power,지휘력
UIAchievement_Category_TacticPower,,Tactic Power,전술력
UIAchievement_Category_ExplorationPointTotal,,Exploration Point (Total),탐사포인트(누적)
UIAchievement_Category_HullTierCount,,Hull Tier,함체 티어
UIAchievement_Category_ModuleTierCount,,Module Tier,모듈 티어
UIAchievement_Category_HullUnlocked,,Hull Unlock,함체 언락
UIDailyAchievement_Category_CellClear,,Daily Cell Clear,일일 셀 클리어
UIDailyAchievement_Category_EventCell,,Daily Event Cell Clear,일일 이벤트 셀 클리어
UIDailyAchievement_Category_ZoneClearTotal,,Daily Zone Clear,일일 존 클리어
UIFleet_EnemyFleetTitle,,Enemy Fleet,적함대


UITabSettings_Info,,INFO,정보
UITabRank_SeasonNumber,,SEASON {0},시즌 {0}
UITabRank_ScoreRank,,Score:{0} (Rank {1}),점수:{0} ({1}위)
UITabRank_refresh,,REFRESH({0}/{1}),새로고침({0}/{1})
UITabExploration_RetreatConfirm,,Retreat to the previous zone?,이전 구역으로 퇴각하시겠습니까?
UITabPvp_RetreatConfirm,,Retreat from the PvP battle?,PvP 전투에서 퇴각하시겠습니까?
UI_Retreat,,RETREAT,퇴각
UI_StartBattle,,START BATTLE,전투시작
UI_AutoEnterBattle,,AUTO ENTER,자동 진입
require_level_compare,,Lv.{0} (Current Lv.{1}),Lv.{0} (현재 Lv.{1})
UIPopupConfirm_RequireLevel,,Required Level,필요 레벨
UIPopupConfirm_PvpPointLabel,,PVP Point,PVP 포인트
UIPopupConfirm_OwnedLabel,,Owned,보유
UIPopupConfirm_ExpLabel,,EXP,경험치
Simple_Attack,,Att,공격
Simple_BeamAttack,,Beam Att,빔 공격
Simple_MissileAttack,,Missile Att,미사일 공격
Simple_AirAttack,,Aircraft Att,함재기 공격
Simple_AirCount,,Aircrafts,함재기 수
module_type_beam,,Beam,빔
module_type_missile,,Missile,미사일
module_type_hangar,,Hangar,격납고
module_type_shield,,Shield,실드
module_type_interceptor,,Interceptor,요격체
UIFleet_ModuleSlot_Installed,,Installed,장착
UIFleet_ModuleSlot_NotInstalled,,Not Installed,해제

UIFleet_ModuleReinforce_ColStatus,,Status,상태
UIFleet_ModuleReinforce_ColValue,,Value,수치
UIFleet_ModuleReinforce_ColInvested,,Invested,투입 포인트
UIModuleReinforce_Attack,,Attack,공격력
UIModuleReinforce_FireRate,,Fire Rate,연사력
UIModuleReinforce_SilenceTime,,Silence Time,침묵 시간
UIModuleReinforce_AttackToShip,,Attack To Ship,대함 공격력
UIModuleReinforce_AttackToFighter,,Attack To Fighter,대공 공격력
UIModuleReinforce_Ammo,,Ammo,탄약
UIModuleReinforce_Health,,Health,체력
UIModuleReinforce_Disrupt,,Disrupt,교란
UIModuleReinforce_ShieldGauge,,Shield Gauge,실드 게이지
UIModuleReinforce_ShieldRegenRate,,Regen Rate,회복 속도
UIModuleReinforce_InterceptorCount,,Count,개수
UIModuleReinforce_InterceptorRegenTime,,Regen Time,회복 시간

DailyBonus_Title,,Daily Login Bonus,일일 출석 보너스
DailyBonus_Desc,,+{0} Minerals received!,미네랄 +{0} 지급!
DailyBonus_DescAchievement,,+{0} Achievement Points received!,업적포인트 +{0} 지급!
DailyBonus_DayLabel,,Day {0},{0}일차
DailyBonus_VipPrefix,,[VIP],[VIP]
DailyBonus_NextReward,,Next reward in,다음 보상까지
UIVipStatus_BenefitTitle,,ADMIRAL's Benefit,제독 혜택
UIVipStatus_Expired,,(Expired),(만료)
UIVipStatus_ExpiryDays,,(D-{0}),(D-{0})
UIVipStatus_Benefit_NoAds,,No Ads,광고 없음
UIVipStatus_Benefit_Daily,,Exclusive Daily Rewards,전용 일일 보상
UIVipStatus_Benefit_DoubleExploration,,2x Exploration Points & EXP,탐험 포인트·경험치 2배 획득
UIVipStatus_Benefit_AchievementBonus,,Bonus Achievement Rewards,업적 전용 보너스 보상
UIVipStatus_Benefit_BattleSpeed,,Adjustable Battle Speed,전투 배속 조절
UIVipStatus_PurchaseTitle,,BECOME ADMIRAL,제독 승급
UIVipStatus_PurchasePrice,,{0} (30-Day Pass),{0} (30일 이용권)
UIPopupMessage_Logout,,Are you sure you want to logout?,로그아웃 하시겠습니까?
UIPopupMessage_LogoutGuest,,Logging out as a guest will permanently delete your account and all data. Continue?,게스트 로그아웃 시 계정과 모든 데이터가 영구 삭제됩니다. 계속하시겠습니까?
UIPopupMessage_GoogleLink,,Would you like to link your Google account?,구글 계정을 연동하시겠습니까?
UIPopupMessage_GoogleUnlink,,Unlinking Google will revert your account to guest status. Continue?,구글 연동을 해제하면 게스트 상태로 변경됩니다. 계속하시겠습니까?
UIPopupMessage_CommanderLevelupMessage,,COMMANDER LEVEL UP,지휘 레벨업
UIPopupMessage_ConfirmTryCell,,Move to Cell\n\nZone:\t\t {0}\nCell:\t\t {1},셀 이동\n\n존:\t\t {0}\n구역:\t\t {1}
Zone_Cell_Text,,Zone:\t{0}\nCell:\t{1},존:\t{0}\n구역:\t{1}
UIPopupMessage_ZoneLocked,,This zone is still locked. Clear the previous zone first.,아직 잠긴 존입니다. 이전 존을 먼저 클리어하세요.
UIPopupMessage_VersionUpdateMessage,,An update to version {0} is required.,버전 {0} 이상으로 업데이트가 필요합니다.
UIPopupMessage_VersionUpdateButton,,Update,업데이트
UIPopupMessage_MaintenanceInProgress,,The server is currently under maintenance.,서버 점검 중입니다.
UIPopupMessage_MaintenanceRemainingTime,,Time remaining: {0},서버 점검 남은 시간 : {0}
UIPopupMessage_PvpSeasonRewardTitle,,PVP Season Reward,PVP 시즌 보상
UIPopupMessage_PvpSeasonRewardMessage,,Season reward has been granted.,시즌 보상이 지급되었습니다.
UIPopupMessage_PvpCommanderLevelRequiredMessage,,Commander Level {0} or above is required to enter PVP.,PVP 참가는 지휘 레벨 {0} 이상이 필요합니다.
ExplorationPoint,,Exploration Point,탐험 포인트
CommandPower,,Command Power,지휘력
TacticPower,,Tactic Power,전술력
UICOMMON_AdmiralFeature,,Admiral Feature,제독 기능
loading_tip_0,,Tip: Clearing exploration zones unlocks new areas.,팁: 탐사 지역을 클리어하면 새 지역이 개방됩니다.
loading_tip_1,,Tip: Upgrade ship modules to strengthen your fleet.,팁: 함선 모듈을 업그레이드하면 함대 전투력이 향상됩니다.
loading_tip_2,,Tip: Earn EXP in expeditions to raise your Commander Level and unlock new modules.,팁: 탐사를 통해 경험치를 쌓아 지휘 레벨을 올리고 새 모듈을 개방하세요.
loading_tip_3,,Tip: Deploy a mix of ship types for better fleet synergy.,팁: 다양한 함선을 배치하면 함대 시너지가 높아집니다.
loading_tip_4,,Tip: Run explorations to gather resources when you run short.,팁: 자원이 부족할 때는 탐사를 먼저 진행하세요.
ShipName_0,,Alpha,알파
ShipName_1,,Bravo,브라보
ShipName_2,,Charlie,찰리
ShipName_3,,Delta,델타
ShipName_4,,Echo,에코
ShipName_5,,Foxtrot,폭스트롯
ShipName_6,,Golf,골프
ShipName_7,,Hotel,호텔
ShipName_8,,India,인디아
FleetManagement,,FLEET MANAGEMENT,함대 관리
UIFleet_IncreaseCommandPowerButton,,Increase CP,지휘력 증가
UIFleet_IncreaseTacticPowerButton,,Increase TP,전술력 증가
UIAchievement_Name_cell_clear,,Clear {1} Cells,셀 클리어 {1}회
UIAchievement_Desc_cell_clear,,Clear {1} normal (non-event) cells cumulatively,일반(비이벤트) 셀을 누적 {1}회 클리어하면 완료
UIAchievement_Name_event_cell,,Event Cell Visit x{1},이벤트 셀 방문 {1}회
UIAchievement_Desc_event_cell,,Clear event cells {1} times cumulatively,이벤트 셀을 누적 {1}회 클리어하면 완료
UIAchievement_Name_zone_clear_total,,Clear {1} Zones,존 {1}개 클리어
UIAchievement_Desc_zone_clear_total,,Clear {1} different zones cumulatively,서로 다른 존을 누적 {1}개 클리어하면 완료
UIDailyAchievement_Name_cell_clear,,Clear {1} Cells Today,오늘 셀 클리어 {1}회
UIDailyAchievement_Desc_cell_clear,,Clear {1} normal (non-event) cells today,오늘 일반(비이벤트) 셀을 {1}회 클리어하면 완료(자정 UTC 리셋)
UIDailyAchievement_Name_event_cell,,Event Cell Visit x{1} Today,오늘 이벤트 셀 방문 {1}회
UIDailyAchievement_Desc_event_cell,,Clear event cells {1} times today,오늘 이벤트 셀을 {1}회 클리어하면 완료(자정 UTC 리셋)
UIDailyAchievement_Name_zone_clear_total,,Clear {1} Zones Today,오늘 존 {1}개 클리어
UIDailyAchievement_Desc_zone_clear_total,,Escape {1} zone runs today (revisiting cleared zones counts too),오늘 존을 {1}번 탈출(클리어)하면 완료 — 이미 클리어한 존 재방문도 인정(자정 UTC 리셋)
UIAchievement_Name_zone_clear,,Clear Zone {0},존 {0} 클리어
UIAchievement_Desc_zone_clear,,Clear Zone {0} for the first time,존 {0}를 처음 클리어하면 완료
UIAchievement_Name_zone_full_clear,,Fully Clear Zone {0},존 {0} 완전 클리어
UIAchievement_Desc_zone_full_clear,,Clear every cell in Zone {0} within a single run,존 {0}의 모든 셀을 한 런 안에서 전부 클리어하면 완료
UIAchievement_Name_commander_level,,Reach Commander Level {1},지휘관 레벨 {1} 달성
UIAchievement_Desc_commander_level,,Reach Commander Level {1},지휘관 레벨 {1}에 도달하면 완료
UIAchievement_Name_command_power,,Reach {1} Command Power,지휘력 {1} 달성
UIAchievement_Desc_command_power,,Reach {1} Command Power,지휘력 {1}에 도달하면 완료
UIAchievement_Name_tactic_power,,Reach {1} Tactic Power,전술력 {1} 달성
UIAchievement_Desc_tactic_power,,Reach {1} Tactic Power,전술력 {1}에 도달하면 완료
UIAchievement_Name_exploration_point_total,,Earn {1} Exploration Points (Total),누적 탐사포인트 {1} 획득
UIAchievement_Desc_exploration_point_total,,"Earn {1} Exploration Points cumulatively (lifetime, not current balance)",역대 누적 획득 탐사포인트가 {1}에 도달하면 완료(현재 잔액이 아닌 역대 총 획득량 기준)
UIAchievement_Name_hull_tier_count,,Deploy {1} Tier {0} Hulls,티어{0} 함체 {1}척 동시 보유
UIAchievement_Desc_hull_tier_count,,Have {1} Tier {0} hulls in your active fleet at the same time,활성 함대에 티어{0} 함체를 동시에 {1}척 보유하면 완료
UIAchievement_Name_module_tier_count,,Equip {1} {0} Modules,{0} 모듈 {1}개 동시 장착
UIAchievement_Desc_module_tier_count,,Have {1} {0} modules equipped in your active fleet at the same time,활성 함대에 {0} 모듈을 동시에 {1}개 장착하면 완료
UIAchievement_Name_hull_unlock,,Unlock {0},{0} 언락
UIAchievement_Desc_hull_unlock,,Unlock the {0} hull to complete. Refunds 10% of the achievement points spent.,{0} 함체를 언락하면 완료 — 소비한 업적 포인트의 10% 환급
UI_Retry,,RETRY,재시도
UIPopupMessage_NetworkWaiting,,Communicating with the server...,서버와 통신 중입니다...
UIPopupMessage_NetworkNoResponseRead,,No response from the server. Do you want to retry?,서버 응답이 없습니다. 다시 시도할까요?
UIPopupMessage_NetworkNoResponseWrite,,No response from the server. Please try again in a moment.,서버 응답이 없습니다. 잠시 후 다시 시도해 주세요.
UIPopupMessage_NetworkStateMismatch,,Your exploration data does not match the server. Syncing with the server.,탐험 정보가 서버와 맞지 않습니다. 서버 상태로 다시 맞춥니다.
UIPopupMessage_RequestFailed,,The request failed. (Code: {0}),요청에 실패했습니다. (코드: {0})
